1960,In this year the first televised presidential debates between John F. Kennedy and Richard Nixon took place influencing the future of political campaigning.
1961,Yuri Gagarin becomes the first human to orbit Earth aboard Vostok 1 and achieves a historic milestone in space exploration.  
1962,Telstar 1 is launched as the first communications satellite and enables live television broadcasts across the Atlantic.  
1963,Douglas Engelbart develops the first prototype of the computer mouse and revolutionizes computer interaction.  
1964,IBM introduces the System/360 which is a family of computers that standardizes hardware and software. Additionally Spacewar became one of the earliest video games to gain popularity.  
1965,Digital Equipment Corporation releases the PDP-8 which is the first minicomputer and makes computing accessible to smaller businesses.  
1966,Robert Dennard invents Dynamic Random-Access Memory which transforms computer memory technology.  
1967,The world's first Automated Teller Machine was installed in London and transformed banking services.  
1968,NASA launches Apollo 7 and Apollo 8 which are the first crewed Apollo missions. Apollo 8 becomes the first spacecraft to orbit the Moon and demonstrates advancements in space and computing technologies.  
1969,NASA's Apollo 11 mission lands humans on the Moon with Neil Armstrong and Buzz Aldrin walking on its surface while Michael Collins orbits above.  
1970,Intel releases the Intel 1103 which is the first commercially available DRAM chip.  
1971,Ray Tomlinson sends the first email on ARPANET and introduces the at symbol in email addresses.  
1972,Philips and Sony propose the concept of digital optical discs which leads to the development of the compact disc.  
1973,Martin Cooper of Motorola makes the first handheld mobile phone call and achieves a breakthrough in telecommunications.  
1974,The Altair 8800 is introduced as a prototype of the first personal computer and marks the beginning of the personal computing era.  
1975,Bill Gates and Paul Allen establish Microsoft and lay the foundation for the modern software industry.
1961,Yuri Gagarin ( first human in space ) the aboard Vostok 1 becomes the first human to orbit Earth marking a milestone in space technology.
1962,This year the First Communications Satellite (Telstar 1) is launched that enables live transatlantic television broadcasts.
1963,This year Douglas Engelbart developed the first prototype of the computer mouse.
1964,This year IBM introduces the System/360 a family of computers that standardizes hardware and software shaping modern computing and this year "Spacewar!" becomes one of the first video games to gain popularity.
1965,This year Digital Equipment Corporation (DEC) introduces the PDP-8 ( first minicomputer ) making computing more accessible to smaller businesses.
1966,This year  Robert Dennard invented DRAM (Dynamic Random-Access Memory) that revolutionised the  computer memory.
1967,This year the world's first Automated Teller Machine (ATM) is installed in London transforming banking
1968,This year NASA launched Apollo 7 (October) and Apollo 8 (December) it is the first crewed Apollo missions. Apollo 8 became the first spacecraft to orbit the Moon demonstrating significant advancements in space exploration and computing technologies.
1969,This year NASA's Apollo 11 mission achieved the first successful human landing on the Moon. Astronauts Neil Armstrong and Buzz Aldrin walked on the lunar surface while Michael Collins orbited above in the command module.
1970,This year Intel releases the first commercially available DRAM chip the Intel 1103.
1971,This year Ray Tomlinson sends the first email on ARPANET introducing "@" as a symbol in addresses.
1972,This year the idea of digital optical discs (Compact disc) is introduced by Philips and Sony.
1973,This year Martin Cooper of Motorola makes the first handheld mobile phone call.
1974,This year the first Personal computer prototype Altair 8800 is introduced that marks the beginning of the personal computer era.
1975,This year Bill Gates and Paul Allen establish Microsoft that shapes the software industry.
1976,The devastating Tangshan earthquake in China resulted in an estimated 240 000 deaths  highlighting the country's vulnerability to natural disasters.
1977,The Tenerife Airport Disaster is a collision of two Boeing 747s and it  remains the deadliest aviation accident in history.
1978,The Camp David Accords brought about a historic peace treaty between Egypt and Israel.
1979,The Iranian Revolution overthrew the Shah and established an Islamic Republic reshaping the Middle East.
1980,The election of Ronald Reagan as U.S. President signaled a significant shift towards conservative politics.
1981,An assassination attempt on President Reagan shocked the nation and raised security concerns.
1982,The Falklands War between Argentina and the United Kingdom resulted in a British victory.
1983,The Korean Air Lines Flight 007 incident where a Soviet fighter jet shot down a civilian airliner heightened Cold War tensions.
1984,The Bhopal disaster a gas leak in India that resulted in a massive loss of life and environmental damage.
1985,Live Aid is a global concert that raised millions for famine relief in Ethiopia.
1986,The Chernobyl disaster is a nuclear accident in Ukraine  released massive amounts of radiation.
1987,The Black Monday crash significantly impacted global financial markets.
1988,The Lockerbie bombing is a terrorist attack on a Pan Am flight led to widespread international condemnation.
1989,The Tiananmen Square protests in China were met with a violent government crackdown.
1990,The Persian Gulf War was triggered by Iraq's invasion of Kuwait involving a multinational coalition led by the United States.
1991,The collapse of the Soviet Union marked the end of the Cold War and reshaped the global political landscape.
1992,Widespread riots erupted in Los Angeles following the acquittal of police officers in the Rodney King beating.
1993,The Oslo Accords represented a significant step towards peace in the Israeli-Palestinian conflict.
1994,The Rwandan genocide resulted in the deaths of hundreds of thousands of people.
1995,The Oklahoma City bombing killed 168 people and shocked the nation. 
1996,The Atlanta Olympics were held although marred by a bombing.
1997,The death of Princess Diana prompted widespread global mourning. 
1998,President Bill Clinton faced impeachment proceedings.
1999,The Columbine High School massacre highlighted concerns about school safety and gun violence.
2000,The U.S. presidential election was highly contested and resulted in a protracted legal battle.
2001,The September 11th terrorist attacks dramatically altered American foreign and domestic policy.
2002,The Enron scandal exposed widespread corporate corruption and accounting fraud.
2003,The U.S.-led invasion of Iraq began sparking a prolonged and controversial war. 
2004,The Indian Ocean tsunami caused devastating loss of life and widespread destruction.
2005,Hurricane Katrina caused catastrophic damage and loss of life in the Gulf Coast region of the United States.
2006,This was the year when Twitter launched and became one of the most influential social media sites over time.
2007,The year when Apple's revolutionary smartphone was introduced.
2008,The year when Barack Obama was elected as the first African-American U.S. president that symbolises a major historical milestone.
2009,The year when the H1N1 Swine Flu pandemic happened which is a global health crisis affecting millions; The year when the King of Pop Michael Jackson passed away leaving a lasting legacy.
2010,The Haiti earthquake occurred on the West Indian island of Hispaniola that comprises the countries of Haiti and the Dominican Republic.
2011,The year when Osama bin Laden which is the mastermind of 9/11 that was located and killed by U.S. forces.
2012,The year when Hurricane Sandy happened which is one of the most devastating hurricanes that caused significant damage in the Caribbean and the U.S. East Coast which is particularly New York and New Jersey.
2013,The year when Pope Francis was elected at the age of 76 to succeed Pope Benedict XVI and took the name of Francis.
2014,The year when the Ebola outbreak happened that affects West Africa that prompts global health efforts.
2015,The year when the Syrian Refugee Crisis happened that has millions fleeing the conflict that leads to a humanitarian crisis.
2016,The year when Donald Trump was elected which marks a shift in U.S. politics.
2017,The year when a series of catastrophic hurricanes named "Harvey" "Irma" and "Maria" devastated parts of the U.S. Caribbean and Puerto Rico that caused massive destruction and loss of life.
2018,The year when the North Korean leader Kim Jong-un and South Korean President Moon Jae-in met for historic talks aimed at denuclearization and peace on the Korean Peninsula.
2019,The year when the Notre-Dame Cathedral fire happened that devastated the iconic Paris landmark.
2020,The year when the COVID-19 pandemic happened which is a global health crisis that reshaped daily life and economies.
2021,The year when the U.S. withdrawal from Afghanistan marked the end of a 20-year war.
2022,The year when Queen Elizabeth II died which marks the end of a 70-year reign.
2023,The year when the World Health Organization officially declared that the COVID-19 pandemic had come to an end,
2024,The year when a key global event may occur potentially marking a rematch between Joe Biden and Donald Trump which is two of the oldest candidates in U.S. history. The election outcome is expected to have significant geopolitical ramifications that includes the future of international institutions and the global economy.
